date,expenditure_billions,saving_rate_pct,credit_owned_billions,cpi_index,credit_to_spend_ratio,spend_yoy_growth,credit_yoy_growth,inflation_yoy,regime
2022-11-01,15317.1,3.8,4840770.62,298.786,316.0370187568143,1.3310487632228307,7.8294196568170715,7.122856456533988,3_post_inflation_shock
2022-12-01,15303.6,4.2,4858467.57,298.832,317.47220065866856,1.6229281767955683,7.661612698935194,6.404600402357152,3_post_inflation_shock
2023-01-01,15501.5,4.9,4874126.47,300.42,314.4293436119085,2.878323311963271,7.660001881461009,6.327178517960097,3_post_inflation_shock
2023-02-01,15491.8,5.5,4884912.07,301.45,315.3224331581869,2.745077232240556,7.164130726104423,5.957820738137087,3_post_inflation_shock
2023-03-01,15494.0,6.0,4909610.57,301.821,316.8717290564089,2.2247440092895587,6.727169946448419,4.917719362889961,3_post_inflation_shock
2023-04-01,15541.8,5.8,4921913.96,302.845,316.68879795133125,2.0111057143232136,6.231417473063816,4.950079879124369,3_post_inflation_shock
2023-05-01,15535.2,6.1,4927070.79,303.334,317.1552854163448,2.1105421944117575,5.674533688436134,4.131851231385042,3_post_inflation_shock
2023-06-01,15584.1,5.8,4950407.77,304.014,317.6575978080222,2.3680338421923963,5.323488255011255,3.070617072997095,3_post_inflation_shock
2023-07-01,15658.4,5.5,4959233.72,304.609,316.71395033975375,2.764961836569957,5.016635691324978,3.287749268428297,3_post_inflation_shock
2023-08-01,15668.6,5.6,4945185.91,306.082,315.61121670091774,2.276792125223581,4.070798809380549,3.722504803505289,3_post_inflation_shock
2023-09-01,15688.7,5.3,4955084.13,307.276,315.83777687125126,2.3365187045432334,3.692063906206866,3.687206638119256,3_post_inflation_shock
2023-10-01,15730.9,5.4,4965631.71,307.696,315.66100540973497,2.427383595627064,3.226764997556719,3.2512659098611785,3_post_inflation_shock
2023-11-01,15786.9,5.6,4989152.89,308.148,316.0311961183006,3.067160232681121,3.0652613322958766,3.1333462745911866,3_post_inflation_shock
2023-12-01,15851.3,5.6,4988252.94,308.741,314.69046324276246,3.5788964688047153,2.671323171968809,3.3159099427102934,3_post_inflation_shock
2024-01-01,15793.7,6.4,5003263.54,309.698,316.78856379442436,1.8849788730122885,2.6494402801164885,3.0883429864855705,3_post_inflation_shock
2024-02-01,15863.1,6.1,5013828.69,310.967,316.0686555591278,2.3967518300003876,2.639077595515449,3.157074141648697,3_post_inflation_shock
